district,week,y_true,horizon,model,yhat
022,2020-12-07,146.0,1,prophet,119.62413915167652
022,2020-12-07,146.0,1,xgboost,145.72959899902344
022,2020-12-14,136.0,1,seasonal_naive,144.0
022,2020-12-14,136.0,1,sarima,137.25773348319686
022,2020-12-14,136.0,1,prophet,119.62413915167652
022,2020-12-14,136.0,1,xgboost,139.01405334472656
022,2020-12-21,138.0,1,seasonal_naive,150.0
022,2020-12-21,138.0,1,sarima,153.16094079295257
022,2020-12-21,138.0,1,prophet,120.5548042011628
022,2020-12-21,138.0,1,xgboost,148.2613067626953
022,2020-12-28,148.0,1,seasonal_naive,131.0
022,2020-12-28,148.0,1,sarima,131.68310571177813
022,2020-12-28,148.0,1,prophet,120.5548042011628
022,2020-12-28,148.0,1,xgboost,151.0584259033203
022,2021-01-04,131.0,1,seasonal_naive,144.0
022,2021-01-04,131.0,1,sarima,137.3286310150156
022,2021-01-04,131.0,1,prophet,119.70620458415308
022,2021-01-04,131.0,1,xgboost,143.74893188476562
022,2021-01-11,159.0,1,seasonal_naive,130.0
022,2021-01-11,159.0,1,sarima,122.10343949133537
022,2021-01-11,159.0,1,prophet,119.70620458415308
022,2021-01-11,159.0,1,xgboost,150.8626251220703
022,2021-01-18,128.0,1,seasonal_naive,151.0
022,2021-01-18,128.0,1,sarima,145.12330325280212
022,2021-01-18,128.0,1,prophet,120.29108797412172
022,2021-01-18,128.0,1,xgboost,153.701416015625
022,2021-01-25,127.0,1,seasonal_naive,128.0
022,2021-01-25,127.0,1,sarima,137.249898186178
022,2021-01-25,127.0,1,prophet,120.29108797412172
022,2021-01-25,127.0,1,xgboost,155.69210815429688
022,2021-02-01,108.0,1,seasonal_naive,125.0
022,2021-02-01,108.0,1,sarima,132.55193492677054
022,2021-02-01,108.0,1,prophet,116.21300519790744
022,2021-02-01,108.0,1,xgboost,150.68710327148438
022,2021-02-08,108.0,1,seasonal_naive,136.0
022,2021-02-08,108.0,1,sarima,125.30753143556696
022,2021-02-08,108.0,1,prophet,116.21300519790744
022,2021-02-08,108.0,1,xgboost,150.7191162109375
022,2021-02-15,147.0,1,seasonal_naive,118.0
022,2021-02-15,147.0,1,sarima,123.00508643307352
022,2021-02-15,147.0,1,prophet,115.14313528579548
022,2021-02-15,147.0,1,xgboost,145.4384765625
022,2021-02-22,122.0,1,seasonal_naive,139.0
022,2021-02-22,122.0,1,sarima,133.7184994166261
022,2021-02-22,122.0,1,prophet,115.14313528579548
022,2021-02-22,122.0,1,xgboost,161.1174774169922
022,2021-03-01,108.0,1,seasonal_naive,135.0
022,2021-03-01,108.0,1,sarima,132.85343672933837
022,2021-03-01,108.0,1,prophet,129.10111852282742
022,2021-03-01,108.0,1,xgboost,152.2913055419922
022,2021-03-08,119.0,1,seasonal_naive,116.0
022,2021-03-08,119.0,1,sarima,120.41667034529117
022,2021-03-08,119.0,1,prophet,129.10111852282742
022,2021-03-08,119.0,1,xgboost,155.2624053955078
022,2021-03-15,131.0,1,seasonal_naive,103.0
022,2021-03-15,131.0,1,sarima,105.20876500509608
022,2021-03-15,131.0,1,prophet,127.85035829021794
022,2021-03-15,131.0,1,xgboost,141.22071838378906
022,2021-03-22,134.0,1,seasonal_naive,107.0
022,2021-03-22,134.0,1,sarima,125.09821406759708
022,2021-03-22,134.0,1,prophet,127.85035829021794
022,2021-03-22,134.0,1,xgboost,146.44776916503906
022,2021-03-29,130.0,1,seasonal_naive,99.0
022,2021-03-29,130.0,1,sarima,124.91734805232372
022,2021-03-29,130.0,1,prophet,122.91681418539682
022,2021-03-29,130.0,1,xgboost,157.6060028076172
022,2021-04-05,146.0,1,seasonal_naive,91.0
022,2021-04-05,146.0,1,sarima,115.3546098335828
022,2021-04-05,146.0,1,prophet,122.91681418539682
022,2021-04-05,146.0,1,xgboost,149.0328369140625
022,2021-04-12,140.0,1,seasonal_naive,105.0
022,2021-04-12,140.0,1,sarima,128.8155345687875
022,2021-04-12,140.0,1,prophet,129.36124674188957
022,2021-04-12,140.0,1,xgboost,155.7869110107422
022,2021-04-19,150.0,1,seasonal_naive,118.0
022,2021-04-19,150.0,1,sarima,145.8574440428975
022,2021-04-19,150.0,1,prophet,129.36124674188957
022,2021-04-19,150.0,1,xgboost,162.57411193847656
022,2021-04-26,117.0,1,seasonal_naive,122.0
022,2021-04-26,117.0,1,sarima,150.0640559952565
022,2021-04-26,117.0,1,prophet,147.97328722312588
022,2021-04-26,117.0,1,xgboost,163.32937622070312
022,2021-05-03,103.0,1,seasonal_naive,136.0
022,2021-05-03,103.0,1,sarima,150.54048458385466
022,2021-05-03,103.0,1,prophet,147.97328722312588
022,2021-05-03,103.0,1,xgboost,151.17706298828125
022,2021-05-10,161.0,1,seasonal_naive,149.0
022,2021-05-10,161.0,1,sarima,156.25767675239828
022,2021-05-10,161.0,1,prophet,150.62924675407928
022,2021-05-10,161.0,1,xgboost,151.4076690673828
022,2021-05-17,123.0,1,seasonal_naive,203.0
022,2021-05-17,123.0,1,sarima,191.3038500797252
022,2021-05-17,123.0,1,prophet,150.62924675407928
022,2021-05-17,123.0,1,xgboost,159.96099853515625
022,2021-05-24,137.0,1,seasonal_naive,171.0
022,2021-05-24,137.0,1,sarima,151.61721889518608
022,2021-05-24,137.0,1,prophet,166.37726665628745
022,2021-05-24,137.0,1,xgboost,172.8025360107422
022,2021-05-31,151.0,1,seasonal_naive,135.0
022,2021-05-31,151.0,1,sarima,118.21596956454336
022,2021-05-31,151.0,1,prophet,166.37726665628745
022,2021-05-31,151.0,1,xgboost,161.8946533203125
022,2021-06-07,155.0,1,seasonal_naive,139.0
022,2021-06-07,155.0,1,sarima,127.41442000542818
022,2021-06-07,155.0,1,prophet,151.65016367537282
022,2021-06-07,155.0,1,xgboost,161.49989318847656
022,2021-06-14,141.0,1,seasonal_naive,152.0
022,2021-06-14,141.0,1,sarima,151.68444317004423
022,2021-06-14,141.0,1,prophet,151.65016367537282
022,2021-06-14,141.0,1,xgboost,155.68544006347656
022,2021-06-21,158.0,1,seasonal_naive,149.0
022,2021-06-21,158.0,1,sarima,169.53677155856747
022,2021-06-21,158.0,1,prophet,149.57750600374604
