primary_type,week,count
ASSAULT,2010-05-10,458
ASSAULT,2010-05-17,491
ASSAULT,2010-05-24,529
ASSAULT,2010-05-31,443
ASSAULT,2010-06-07,473
ASSAULT,2010-06-14,464
ASSAULT,2010-06-21,484
ASSAULT,2010-06-28,460
ASSAULT,2010-07-05,455
ASSAULT,2010-07-12,488
ASSAULT,2010-07-19,463
ASSAULT,2010-07-26,478
ASSAULT,2010-08-02,412
ASSAULT,2010-08-09,479
ASSAULT,2010-08-16,472
ASSAULT,2010-08-23,443
ASSAULT,2010-08-30,454
ASSAULT,2010-09-06,450
ASSAULT,2010-09-13,432
ASSAULT,2010-09-20,423
ASSAULT,2010-09-27,427
ASSAULT,2010-10-04,415
ASSAULT,2010-10-11,479
ASSAULT,2010-10-18,404
ASSAULT,2010-10-25,372
ASSAULT,2010-11-01,384
ASSAULT,2010-11-08,397
ASSAULT,2010-11-15,384
ASSAULT,2010-11-22,307
ASSAULT,2010-11-29,321
ASSAULT,2010-12-06,276
ASSAULT,2010-12-13,309
ASSAULT,2010-12-20,238
ASSAULT,2010-12-27,309
ASSAULT,2011-01-03,283
ASSAULT,2011-01-10,334
ASSAULT,2011-01-17,334
ASSAULT,2011-01-24,305
ASSAULT,2011-01-31,241
ASSAULT,2011-02-07,334
ASSAULT,2011-02-14,374
ASSAULT,2011-02-21,325
ASSAULT,2011-02-28,311
ASSAULT,2011-03-07,366
ASSAULT,2011-03-14,438
ASSAULT,2011-03-21,380
ASSAULT,2011-03-28,416
ASSAULT,2011-04-04,463
ASSAULT,2011-04-11,434
ASSAULT,2011-04-18,360
ASSAULT,2011-04-25,404
ASSAULT,2011-05-02,430
ASSAULT,2011-05-09,457
ASSAULT,2011-05-16,465
ASSAULT,2011-05-23,400
ASSAULT,2011-05-30,505
ASSAULT,2011-06-06,432
ASSAULT,2011-06-13,430
ASSAULT,2011-06-20,473
ASSAULT,2011-06-27,468
ASSAULT,2011-07-04,474
ASSAULT,2011-07-11,481
ASSAULT,2011-07-18,436
ASSAULT,2011-07-25,436
ASSAULT,2011-08-01,399
ASSAULT,2011-08-08,432
ASSAULT,2011-08-15,456
ASSAULT,2011-08-22,461
ASSAULT,2011-08-29,433
ASSAULT,2011-09-05,421
ASSAULT,2011-09-12,434
ASSAULT,2011-09-19,442
ASSAULT,2011-09-26,384
ASSAULT,2011-10-03,414
ASSAULT,2011-10-10,369
ASSAULT,2011-10-17,345
ASSAULT,2011-10-24,425
ASSAULT,2011-10-31,384
ASSAULT,2011-11-07,332
ASSAULT,2011-11-14,348
ASSAULT,2011-11-21,306
ASSAULT,2011-11-28,358
ASSAULT,2011-12-05,307
ASSAULT,2011-12-12,353
ASSAULT,2011-12-19,305
ASSAULT,2011-12-26,271
ASSAULT,2012-01-02,284
ASSAULT,2012-01-09,291
ASSAULT,2012-01-16,236
ASSAULT,2012-01-23,316
ASSAULT,2012-01-30,350
ASSAULT,2012-02-06,303
ASSAULT,2012-02-13,317
ASSAULT,2012-02-20,315
ASSAULT,2012-02-27,349
ASSAULT,2012-03-05,396
ASSAULT,2012-03-12,466
ASSAULT,2012-03-19,473
ASSAULT,2012-03-26,376
ASSAULT,2012-04-02,336
ASSAULT,2012-04-09,386
ASSAULT,2012-04-16,405
ASSAULT,2012-04-23,395
ASSAULT,2012-04-30,439
ASSAULT,2012-05-07,449
ASSAULT,2012-05-14,411
ASSAULT,2012-05-21,452
ASSAULT,2012-05-28,418
ASSAULT,2012-06-04,477
ASSAULT,2012-06-11,452
ASSAULT,2012-06-18,441
ASSAULT,2012-06-25,407
ASSAULT,2012-07-02,453
ASSAULT,2012-07-09,458
ASSAULT,2012-07-16,398
ASSAULT,2012-07-23,434
ASSAULT,2012-07-30,445
ASSAULT,2012-08-06,411
ASSAULT,2012-08-13,412
ASSAULT,2012-08-20,407
ASSAULT,2012-08-27,458
ASSAULT,2012-09-03,376
ASSAULT,2012-09-10,399
ASSAULT,2012-09-17,359
ASSAULT,2012-09-24,381
ASSAULT,2012-10-01,411
ASSAULT,2012-10-08,392
ASSAULT,2012-10-15,396
ASSAULT,2012-10-22,364
ASSAULT,2012-10-29,327
ASSAULT,2012-11-05,372
ASSAULT,2012-11-12,319
ASSAULT,2012-11-19,299
ASSAULT,2012-11-26,362
ASSAULT,2012-12-03,332
ASSAULT,2012-12-10,334
ASSAULT,2012-12-17,329
ASSAULT,2012-12-24,245
ASSAULT,2012-12-31,285
ASSAULT,2013-01-07,318
ASSAULT,2013-01-14,352
ASSAULT,2013-01-21,271
ASSAULT,2013-01-28,311
ASSAULT,2013-02-04,332
ASSAULT,2013-02-11,284
ASSAULT,2013-02-18,277
ASSAULT,2013-02-25,309
ASSAULT,2013-03-04,320
ASSAULT,2013-03-11,343
ASSAULT,2013-03-18,320
ASSAULT,2013-03-25,311
ASSAULT,2013-04-01,353
ASSAULT,2013-04-08,362
ASSAULT,2013-04-15,348
ASSAULT,2013-04-22,408
ASSAULT,2013-04-29,427
ASSAULT,2013-05-06,404
ASSAULT,2013-05-13,434
ASSAULT,2013-05-20,440
ASSAULT,2013-05-27,399
ASSAULT,2013-06-03,406
ASSAULT,2013-06-10,416
ASSAULT,2013-06-17,432
ASSAULT,2013-06-24,386
ASSAULT,2013-07-01,374
ASSAULT,2013-07-08,350
ASSAULT,2013-07-15,375
ASSAULT,2013-07-22,397
ASSAULT,2013-07-29,346
ASSAULT,2013-08-05,367
ASSAULT,2013-08-12,332
ASSAULT,2013-08-19,371
ASSAULT,2013-08-26,390
ASSAULT,2013-09-02,388
ASSAULT,2013-09-09,379
ASSAULT,2013-09-16,371
ASSAULT,2013-09-23,371
ASSAULT,2013-09-30,385
ASSAULT,2013-10-07,353
ASSAULT,2013-10-14,298
ASSAULT,2013-10-21,291
ASSAULT,2013-10-28,381
ASSAULT,2013-11-04,311
